name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Pentolina,"Italian, Australian",4.1,-37.81586997,144.9623995,Italian,normal,"Shop 2, 377 Little Collins Street, CBD, Melbourne, Melbourne",$70.00 ,Pentolina
The Mess Hall,Italian,4.2,-37.81180553,144.9717326,Italian,normal,"51 Bourke Street, CBD, Melbourne",$42.50 ,The Mess Hall
Grossi - Cellar Bar,Italian,4.2,-37.81190194,144.9709524,Italian,normal,"80 Bourke Street, CBD, Melbourne",$45.00 ,Grossi - Cellar Bar
Papa Gino's,"Italian, Pizza",4.2,-37.800239,144.966912,Italian,normal,"221 Lygon Street, Carlton, Melbourne",$50.00 ,Papa Gino's
Tutto Bene,Italian,4.1,-37.82031662,144.9660379,Italian,normal,"Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne",$50.00 ,Tutto Bene
Trattoria Emilia,Italian,3.9,-37.81542102,144.9627616,Italian,normal,"360 Little Collins Street, CBD, Melbourne",$60.00 ,Trattoria Emilia
SPQR Pizzeria,"Italian, Pizza",4.2,-37.81106652,144.9713615,Italian,normal,"26 Liverpool Street, CBD, Melbourne",$40.00 ,SPQR Pizzeria
Fatto Bar & Cantina,"Italian, Pizza, Bar Food",4,-37.81996993,144.9681136,Italian,normal,"Hamer Hall, River Terrace, 100 St Kilda Road, Southbank, Melbourne",$45.00 ,Fatto Bar & Cantina
Pink. The Restaurant,Italian,2.1,-37.81406967,144.9657835,Italian,normal,"Level 1, 157 Swanston Street, CBD, Melbourne",$60.00 ,Pink. The Restaurant
Thirty Eight Chairs,Italian,4.4,-37.84110314,144.9947855,Italian,normal,"4A Bond Street, South Yarra, Melbourne",$60.00 ,Thirty Eight Chairs
Parco Project x Shujinko,"Japanese, Italian",3.9,-37.8089689,144.9605877,Italian,normal,"427 Elizabeth Street, CBD, Melbourne",$25.00 ,Parco Project x Shujinko
48H Pizza & Gnocchi Bar,"Italian, Pizza",4.3,-37.8474635,144.9990945,Italian,normal,"373 Malvern Road, South Yarra, Melbourne",$40.00 ,48H Pizza & Gnocchi Bar
Criniti's,Italian,2.4,-37.79862907,144.9678783,Italian,normal,"198-204 Faraday Street, Carlton, Melbourne",$70.00 ,Criniti's
Arlechin,Italian,4.1,-37.8116074,144.9707751,Italian,normal,"Mornane Place, CBD",$25.00 ,Arlechin
Becco,Italian,4.3,-37.81131709,144.971048,Italian,normal,"11-25 Crossley Street, CBD, Melbourne",$65.00 ,Becco
Caffe e Cucina,Italian,4.4,-37.84021641,144.9953535,Italian,normal,"581 Chapel Street, South Yarra, Melbourne",$65.00 ,Caffe e Cucina
Mercadante Woodfired Pizzeria,"Italian, Pizza",4.2,-37.80412023,144.9662126,Italian,normal,"123 Lygon Street, Carlton, Melbourne",$50.00 ,Mercadante Woodfired Pizzeria
Donnini's,"Italian, Pizza",4.4,-37.79950173,144.9672761,Italian,normal,"320 Lygon Street, Carlton, Melbourne",$60.00 ,Donnini's
Il Gambero,"Italian, Pizza, Seafood",4.2,-37.80329107,144.9666642,Italian,normal,"166 Lygon Street, Carlton, Melbourne",$60.00 ,Il Gambero
Caffe E Torta,"Italian, Coffee and Tea, Cafe Food",4,-37.81501419,144.9642965,Italian,normal,"314 Little Collins Street, CBD, Melbourne",$25.00 ,Caffe E Torta
Cafe Andiamo,"Italian, Pizza",3.9,-37.81709044,144.9657248,Italian,normal,"36-38 Degraves Street, CBD, Melbourne",$50.00 ,Cafe Andiamo
Il Nostro Posto,"Italian, Pizza",3.5,-37.81336379,144.9611573,Italian,normal,"60 Hardware Lane, CBD, Melbourne",$45.00 ,Il Nostro Posto
Grill Steak Seafood,"Italian, Seafood, Steak",0,-37.81311216,144.9610413,Italian,normal,"66 Hardware Lane, CBD, Melbourne",$50.00 ,Grill Steak Seafood
Eliana Lulu,"Italian, Pizza, Cafe Food",4,-37.8167117,144.9655397,Italian,normal,"9 Centre Place, CBD, Melbourne",$30.00 ,Eliana Lulu
Pretty Boy Italian Steakhouse & Floyd's Bar,"Steak, Italian",4,-37.81208603,144.9601887,Italian,normal,"The Novotel, Level 1/399, Little Lonsdale Street, CBD, Melbourne",$72.50 ,Pretty Boy Italian Steakhouse & Floyd's Bar
Il Cantuccio,Italian,4.4,-37.80046286,144.9668594,Italian,normal,"209 Lygon Street, Carlton, Melbourne",$55.00 ,Il Cantuccio
Trinket,"Italian, Bar Food",3.8,-37.81524647,144.9713259,Italian,normal,"87 Flinders Lane, CBD, Melbourne",$65.00 ,Trinket
Scugnizzo,Italian,4.1,-37.81507458,144.9558492,Italian,normal,"558 Little Bourke St, CBD",$60.00 ,Scugnizzo
Merchant Osteria Veneta,Italian,4.2,-37.81867269,144.9579779,Italian,normal,"Intercontinental Melbourne - The Rialto, 495 Collins Street, CBD, Melbourne",$62.50 ,Merchant Osteria Veneta
Fratellino Pizzeria,"Pizza, Italian",4.5,-37.84766232,145.0005171,Italian,normal,"415 Malvern Road, South Yarra, Melbourne",$40.00 ,Fratellino Pizzeria
Pacinos Italian Family Restaurant,"Italian, Pizza, Steak",4.4,-37.7826574,144.9164821,Italian,normal,"Showgrounds Village, Shop 28, 300-320 Epsom Road, Flemington, Melbourne",$35.00 ,Pacinos Italian Family Restaurant
Cafe Cavallino,"Italian, Mediterranean, Pizza",3.9,-37.80139086,144.9666676,Italian,normal,"181 Lygon Street, Carlton, Melbourne",$40.00 ,Cafe Cavallino
Rosa's Canteen,Italian,4,-37.814699,144.9587601,Italian,normal,"The Court, Level 1, Corner of Little Bourke & Thomson Street, Little Bourke Street, CBD, Melbourne",$72.50 ,Rosa's Canteen
Mezzo,Italian,4,-37.81066919,144.9717417,Italian,normal,"35 Little Bourke Street, CBD, Melbourne",$55.00 ,Mezzo
Seasons Provedore,Italian,4.1,-37.80098501,144.9667581,Italian,normal,"199 Lygon Street, Carlton, Melbourne",$37.50 ,Seasons Provedore
Trotters Bistro,"Italian, Cafe Food",4.2,-37.7976136,144.9676402,Italian,normal,"398-400 Lygon Street, Carlton, Melbourne",$40.00 ,Trotters Bistro
Gemma Simply Italian,"Italian, Pizza",4.3,-37.7973757,144.9684405,Italian,normal,"183 Elgin Street, Carlton, Melbourne",$40.00 ,Gemma Simply Italian
Etto Pasta Bar,"Italian, Pizza",3.2,-37.81638486,144.9579471,Italian,normal,"St James Place, Shop 6, 555 Bourke Street, CBD, Melbourne",$25.00 ,Etto Pasta Bar
Da Noi,"Italian, Mediterranean",4.6,-37.83864998,144.9896585,Italian,normal,"95 Toorak Road, South Yarra, Melbourne",$60.00 ,Da Noi
Emporio Pizza and Pasta,"Italian, Pizza",3.9,-37.82445315,144.9573989,Italian,normal,"Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne",$45.00 ,Emporio Pizza and Pasta
SUD Food And Wine,Italian,4.3,-37.81509232,144.9549571,Italian,normal,"219 King Street, CBD, Melbourne",$500.00 ,SUD Food And Wine
Amiconi,"Italian, Mediterranean",4.3,-37.80531786,144.9495983,Italian,normal,"359 Victoria Street, West Melbourne, Melbourne",$55.00 ,Amiconi
A25 Pizzeria - South Yarra,"Italian, Pizza",4.3,-37.83661299,144.9964089,Italian,normal,"720 Chapel Street, South Yarra, Melbourne",$40.00 ,A25 Pizzeria - South Yarra
Cucinetta,Italian,4.2,-37.83835475,144.9902134,Italian,normal,"Shop 4, 3 Murphy Street, South Yarra, Melbourne",$40.00 ,Cucinetta
